phi=1.38, theta=0.58, zenith=0.97
phi=1.38, theta=0.71, zenith=0.84
phi=1.38, theta=0.83, zenith=0.72
phi=1.38, theta=0.96, zenith=0.60
phi=1.38, theta=1.09, zenith=0.47
phi=1.38, theta=1.22, zenith=0.35
phi=1.38, theta=1.35, zenith=0.22
phi=1.38, theta=1.47, zenith=0.09
phi=1.38, theta=4.81, zenith=0.09
phi=1.38, theta=4.94, zenith=0.22
phi=1.38, theta=5.07, zenith=0.35
phi=1.38, theta=5.19, zenith=0.47
phi=1.38, theta=5.32, zenith=0.60
phi=1.38, theta=5.45, zenith=0.72
phi=1.38, theta=5.58, zenith=0.84
phi=1.38, theta=5.71, zenith=0.97
phi=1.38, theta=5.83, zenith=1.09
phi=1.38, theta=5.96, zenith=1.20
phi=1.38, theta=6.09, zenith=1.30
phi=1.38, theta=6.22, zenith=1.37
phi=1.44, theta=0.06, zenith=1.43
phi=1.44, theta=0.19, zenith=1.34
phi=1.44, theta=0.32, zenith=1.23
phi=1.44, theta=0.45, zenith=1.11
phi=1.44, theta=0.58, zenith=0.98
phi=1.44, theta=0.71, zenith=0.86
phi=1.44, theta=0.83, zenith=0.73
phi=1.44, theta=0.96, zenith=0.60
phi=1.44, theta=1.09, zenith=0.48
phi=1.44, theta=1.22, zenith=0.35
phi=1.44, theta=1.35, zenith=0.22
phi=1.44, theta=1.47, zenith=0.10
phi=1.44, theta=4.81, zenith=0.10
phi=1.44, theta=4.94, zenith=0.22
phi=1.44, theta=5.07, zenith=0.35
phi=1.44, theta=5.19, zenith=0.48
phi=1.44, theta=5.32, zenith=0.60
phi=1.44, theta=5.45, zenith=0.73
phi=1.44, theta=5.58, zenith=0.86
phi=1.44, theta=5.71, zenith=0.98
phi=1.44, theta=5.83, zenith=1.11
phi=1.44, theta=5.96, zenith=1.23
phi=1.44, theta=6.09, zenith=1.34
phi=1.44, theta=6.22, zenith=1.43
phi=1.51, theta=0.06, zenith=1.48
phi=1.51, theta=0.19, zenith=1.37
phi=1.51, theta=0.32, zenith=1.24
phi=1.51, theta=0.45, zenith=1.12
phi=1.51, theta=0.58, zenith=0.99
phi=1.51, theta=0.71, zenith=0.86
phi=1.51, theta=0.83, zenith=0.74
phi=1.51, theta=0.96, zenith=0.61
phi=1.51, theta=1.09, zenith=0.48
phi=1.51, theta=1.22, zenith=0.35
phi=1.51, theta=1.35, zenith=0.22
phi=1.51, theta=1.47, zenith=0.10
phi=1.51, theta=4.81, zenith=0.10
phi=1.51, theta=4.94, zenith=0.22
phi=1.51, theta=5.07, zenith=0.35
phi=1.51, theta=5.19, zenith=0.48
phi=1.51, theta=5.32, zenith=0.61
phi=1.51, theta=5.45, zenith=0.74
phi=1.51, theta=5.58, zenith=0.86
phi=1.51, theta=5.71, zenith=0.99
phi=1.51, theta=5.83, zenith=1.12
phi=1.51, theta=5.96, zenith=1.24
phi=1.51, theta=6.09, zenith=1.37
phi=1.51, theta=6.22, zenith=1.48
phi=1.57, theta=0.06, zenith=1.51
phi=1.57, theta=0.19, zenith=1.38
phi=1.57, theta=0.32, zenith=1.25
phi=1.57, theta=0.45, zenith=1.12
phi=1.57, theta=0.58, zenith=0.99
phi=1.57, theta=0.71, zenith=0.87
phi=1.57, theta=0.83, zenith=0.74
phi=1.57, theta=0.96, zenith=0.61
phi=1.57, theta=1.09, zenith=0.48
phi=1.57, theta=1.22, zenith=0.35
phi=1.57, theta=1.35, zenith=0.22
phi=1.57, theta=1.47, zenith=0.10
phi=1.57, theta=4.81, zenith=0.10
phi=1.57, theta=4.94, zenith=0.22
phi=1.57, theta=5.07, zenith=0.35
phi=1.57, theta=5.19, zenith=0.48
phi=1.57, theta=5.32, zenith=0.61
phi=1.57, theta=5.45, zenith=0.74
phi=1.57, theta=5.58, zenith=0.87
phi=1.57, theta=5.71, zenith=0.99
phi=1.57, theta=5.83, zenith=1.12
phi=1.57, theta=5.96, zenith=1.25
phi=1.57, theta=6.09, zenith=1.38
phi=1.57, theta=6.22, zenith=1.51
phi=1.63, theta=0.06, zenith=1.48
phi=1.63, theta=0.19, zenith=1.37
phi=1.63, theta=0.32, zenith=1.24
phi=1.63, theta=0.45, zenith=1.12
phi=1.63, theta=0.58, zenith=0.99
phi=1.63, theta=0.71, zenith=0.86
phi=1.63, theta=0.83, zenith=0.74
phi=1.63, theta=0.96, zenith=0.61
phi=1.63, theta=1.09, zenith=0.48
phi=1.63, theta=1.22, zenith=0.35
phi=1.63, theta=1.35, zenith=0.22
phi=1.63, theta=1.47, zenith=0.10
phi=1.63, theta=4.81, zenith=0.10
phi=1.63, theta=4.94, zenith=0.22
phi=1.63, theta=5.07, zenith=0.35
phi=1.63, theta=5.19, zenith=0.48
phi=1.63, theta=5.32, zenith=0.61
phi=1.63, theta=5.45, zenith=0.74
phi=1.63, theta=5.58, zenith=0.86
phi=1.63, theta=5.71, zenith=0.99
phi=1.63, theta=5.83, zenith=1.12
phi=1.63, theta=5.96, zenith=1.24
phi=1.63, theta=6.09, zenith=1.37
phi=1.63, theta=6.22, zenith=1.48
phi=1.70, theta=0.06, zenith=1.43
phi=1.70, theta=0.19, zenith=1.34
phi=1.70, theta=0.32, zenith=1.23
phi=1.70, theta=0.45, zenith=1.11
phi=1.70, theta=0.58, zenith=0.98
phi=1.70, theta=0.71, zenith=0.86
phi=1.70, theta=0.83, zenith=0.73
phi=1.70, theta=0.96, zenith=0.60
phi=1.70, theta=1.09, zenith=0.48
phi=1.70, theta=1.22, zenith=0.35
phi=1.70, theta=1.35, zenith=0.22
phi=1.70, theta=1.47, zenith=0.10
